industry,City,CityID,IndustryID,cluster
 Semiconductor Manufacturing,Bengaluru,8,85,2
 IT Services and IT Consulting,Trivandrum,70,42,0
 Motor Vehicle Manufacturing,Bangalore Urban,6,63,2
 IT Services and IT Consulting,Agra,0,42,1
 Software Development,Vijayawada,73,87,2
 Advertising Services,Greater Bengaluru Area,26,1,1
 Research Services,Hyderabad,35,80,2
 Wholesale Building Materials,Nagpur,53,99,2
 Transportation Logistics Supply Chain and Storage,Bengaluru,8,95,2
 Media Production,Greater Bengaluru Area,26,58,2
 Staffing and Recruiting,Pune/Pimpri-Chinchwad Area,60,90,2
 Telecommunications,Bangalore Urban,6,92,2
 Education Administration Programs,Faridabad,21,29,1
 Advertising Services,Hyderabad,35,1,1
 Investment Management,Chennai,14,50,1
 Biotechnology Research,Hyderabad,35,10,1
 Telecommunications,Hyderabad,35,92,2
 IT Services and IT Consulting,Navi Mumbai,54,42,0
 Automation Machinery Manufacturing,Greater Bengaluru Area,26,5,1
 Staffing and Recruiting,Gurugram,34,90,2
 Civil Engineering,Greater Bengaluru Area,26,16,1
 Human Resources,Mumbai,51,40,0
 Internet Publishing,Pune,59,49,0
 Retail,Ahmedabad,1,81,2
 Design Services,Mumbai,51,25,0
 Professional Services,Noida,56,74,2
 Technology Information and Internet,Bangalore Urban,6,91,2
 International Trade and Development,Mumbai,51,47,0
 Staffing and Recruiting,Vijayawada,73,90,2
 Education Management,Kolkata,44,30,0
 Transportation Logistics Supply Chain and Storage,Gurugram,34,95,2
 Consumer Services,Mumbai,51,23,0
 Construction,Gurgaon,33,21,1
 Construction,Mumbai,51,21,0
 IT Services and IT Consulting,Greater Nagpur Area,32,42,1
 Manufacturing,Mumbai,51,53,0
 Wellness and Fitness Services,Greater Delhi Area,29,98,2
 Public Relations and Communications Services,Mumbai,51,76,2
 Utilities,Ahmedabad,1,97,2
 Outsourcing and Offshoring Consulting,Gurugram,34,68,2
 Business Consulting and Services,Noida,56,15,0
 Financial Services,New Delhi,55,34,0
 Education Administration Programs,Bengaluru,8,29,1
 Oil and Gas,Chennai,14,66,2
 Computer Games,Mumbai,51,17,0
 Telecommunications,Navi Mumbai,54,92,2
 Primary and Secondary Education,Delhi,18,73,2
 Renewable Energy Semiconductor Manufacturing,Greater Bengaluru Area,26,78,2
 Transportation Logistics Supply Chain and Storage,Mumbai,51,95,2
 Transportation Logistics Supply Chain and Storage,Hyderabad,35,95,2
 Human Resources Services,Hyderabad,35,41,0
 Information Services,Indore,36,44,0
 Motor Vehicle Manufacturing,Silao,64,63,0
 Media and Telecommunications,Bengaluru,8,59,1
 Computer Games,Hyderabad,35,17,1
 Textile Manufacturing,Mumbai,51,93,2
 Maritime,Mumbai,51,54,0
 Staffing and Recruiting,Jalandhar,38,90,2
 Motor Vehicle Manufacturing,Hyderabad,35,63,2
 Civil Engineering,Navi Mumbai,54,16,0
 Biotechnology Research,Bangalore Urban,6,10,1
 Advertising Services,Gurugram,34,1,1
 Software Development,Coimbatore,15,87,2
 Outsourcing/Offshoring,Ahmedabad,1,69,2
 Computer and Network Security,Kochi,43,19,0
 Accounting,Mumbai Metropolitan Region,52,0,0
 E-learning,Bengaluru,8,27,1
 E-Learning Providers,Bangalore Urban,6,26,1
 Information Services,Greater Hyderabad Area,30,44,1
 Movies Videos and Sound,Pune,59,64,0
 Spectator Sports,Mumbai,51,88,2
 IT Services and IT Consulting,Mohali district,50,42,0
 Computers and Electronics Manufacturing,Greater Hyderabad Area,30,20,1
 Staffing and Recruiting,New Delhi,55,90,2
 Staffing and Recruiting,Chandigarh,13,90,2
 Research Services,Mumbai Metropolitan Region,52,80,2
 Telecommunications,Delhi,18,92,2
 Machinery Manufacturing,Bengaluru,8,52,1
 Manufacturing,Ghaziabad,24,53,1
 Hospitals and Health Care,Greater Bengaluru Area,26,39,1
 Higher Education,Delhi,18,38,1
 Higher Education,New Delhi,55,38,0
 Non-profit Organizations,New Delhi,55,65,0
 Computer Games,Gurugram,34,17,1
