industry,City,Cluster
 IT Services and IT Consulting,Kanpur,0
 Staffing and Recruiting,Navi Mumbai,0
 Business Consulting and Services,Navi Mumbai,0
 IT Services and IT Consulting,Navi Mumbai,0
 Telecommunications,Navi Mumbai,0
 Civil Engineering,Navi Mumbai,0
 Human Resources,Navi Mumbai,0
 Technology Information and Internet,Navi Mumbai,0
 IT Services and IT Consulting,Pimpri Chinchwad,0
 IT Services and IT Consulting,Greater Delhi Area,0
 Wellness and Fitness Services,Greater Delhi Area,0
 Higher Education,Greater Delhi Area,0
 Staffing and Recruiting,Greater Delhi Area,0
 Consumer Services,Greater Delhi Area,0
 IT Services and IT Consulting,Greater Coimbatore Area,0
 IT Services and IT Consulting,Ghaziabad,0
 Packaging and Containers Manufacturing,Ghaziabad,0
 Manufacturing,Ghaziabad,0
 Information Technology & Services,Bhubaneshwar,1
 IT Services and IT Consulting,Bangalore Urban district,0
 IT Services and IT Consulting,Srinagar,0
 Farming,Aurangabad,1
 Information Technology & Services,Vishakhapatnam,0
 Human Resources Services,Vishakhapatnam,0
 IT Services and IT Consulting,Vishakhapatnam,0
 Software Development,Bengaluru East,1
 IT Services and IT Consulting,Visakhapatnam,0
 IT Services and IT Consulting,Thane,0
 Software Development,Thane,0
 Technology Information and Internet,Alipur,1
 IT Services and IT Consulting,Vadodara,0
 Information Services,Vadodara,0
 Higher Education,Ernakulam,1
 Staffing and Recruiting,Mohali district,0
 IT Services and IT Consulting,Mohali district,0
 Information Technology & Services,Jammu,1
 IT Services and IT Consulting,Greater Ahmedabad Area,0
 IT Services and IT Consulting,Greater Chennai Area,0
 IT Services and IT Consulting,Faridabad,0
 Education Administration Programs,Faridabad,0
 IT Services and IT Consulting,Jamshedpur,0
 IT Services and IT Consulting,Bhubaneswar,0
 IT Services and IT Consulting,Trivandrum,0
 IT Services and IT Consulting,Agra,0
 Software Development,Vijayawada,1
 Staffing and Recruiting,Vijayawada,1
 IT Services and IT Consulting,Greater Nagpur Area,0
 Motor Vehicle Manufacturing,Silao,1
 Staffing and Recruiting,Jalandhar,1
 Translation and Localization,Dadri,1
 IT Services and IT Consulting,Mangaluru,0
 IT Services and IT Consulting,Greater Kolkata Area,0
 Business Consulting and Services,Greater Kolkata Area,0
 Pharmaceutical Manufacturing,Ahmednagar,1
 Wholesale Building Materials,Midnapore,0
 E-Learning Providers,Raipur,1
 Machinery Manufacturing,Gandhinagar,1
 IT Services and IT Consulting,Gautam Buddha Nagar,0
 IT Services and IT Consulting,Sriperumbudur,0
